182. 26 animals, 21 plants, 22 avg. energy, 30 avg. life time, 2 avg. childs
183. 26 animals, 21 plants, 23 avg. energy, 30 avg. life time, 2 avg. childs
184. 26 animals, 21 plants, 23 avg. energy, 30 avg. life time, 2 avg. childs
185. 25 animals, 21 plants, 25 avg. energy, 30 avg. life time, 2 avg. childs
186. 23 animals, 22 plants, 26 avg. energy, 30 avg. life time, 2 avg. childs
187. 23 animals, 21 plants, 29 avg. energy, 30 avg. life time, 2 avg. childs
188. 22 animals, 20 plants, 33 avg. energy, 30 avg. life time, 3 avg. childs
189. 20 animals, 19 plants, 39 avg. energy, 31 avg. life time, 3 avg. childs
190. 19 animals, 20 plants, 40 avg. energy, 30 avg. life time, 3 avg. childs
191. 19 animals, 21 plants, 39 avg. energy, 31 avg. life time, 3 avg. childs
192. 21 animals, 21 plants, 36 avg. energy, 31 avg. life time, 3 avg. childs
193. 21 animals, 21 plants, 37 avg. energy, 31 avg. life time, 3 avg. childs
194. 21 animals, 22 plants, 36 avg. energy, 31 avg. life time, 3 avg. childs
195. 22 animals, 23 plants, 34 avg. energy, 31 avg. life time, 3 avg. childs
196. 23 animals, 23 plants, 33 avg. energy, 31 avg. life time, 2 avg. childs
197. 22 animals, 24 plants, 33 avg. energy, 31 avg. life time, 3 avg. childs
198. 23 animals, 23 plants, 35 avg. energy, 31 avg. life time, 3 avg. childs
199. 24 animals, 24 plants, 32 avg. energy, 31 avg. life time, 3 avg. childs
200. 24 animals, 22 plants, 36 avg. energy, 31 avg. life time, 3 avg. childs
201. 23 animals, 23 plants, 37 avg. energy, 32 avg. life time, 2 avg. childs
202. 24 animals, 24 plants, 34 avg. energy, 32 avg. life time, 2 avg. childs
203. 24 animals, 24 plants, 35 avg. energy, 32 avg. life time, 2 avg. childs
204. 24 animals, 23 plants, 37 avg. energy, 32 avg. life time, 2 avg. childs
205. 24 animals, 23 plants, 38 avg. energy, 32 avg. life time, 2 avg. childs
206. 24 animals, 22 plants, 40 avg. energy, 32 avg. life time, 2 avg. childs
207. 24 animals, 20 plants, 44 avg. energy, 32 avg. life time, 2 avg. childs
208. 22 animals, 20 plants, 49 avg. energy, 32 avg. life time, 2 avg. childs
209. 22 animals, 20 plants, 50 avg. energy, 32 avg. life time, 2 avg. childs
210. 23 animals, 20 plants, 49 avg. energy, 32 avg. life time, 2 avg. childs
211. 24 animals, 19 plants, 49 avg. energy, 32 avg. life time, 2 avg. childs
212. 25 animals, 19 plants, 48 avg. energy, 32 avg. life time, 2 avg. childs
213. 25 animals, 19 plants, 48 avg. energy, 32 avg. life time, 2 avg. childs
214. 26 animals, 19 plants, 47 avg. energy, 32 avg. life time, 2 avg. childs
215. 28 animals, 19 plants, 44 avg. energy, 32 avg. life time, 2 avg. childs
216. 29 animals, 19 plants, 43 avg. energy, 32 avg. life time, 2 avg. childs
217. 29 animals, 20 plants, 42 avg. energy, 32 avg. life time, 2 avg. childs
218. 30 animals, 21 plants, 40 avg. energy, 32 avg. life time, 2 avg. childs
