181. 2 animals, 97 plants, 187 avg. energy, 61 avg. life time, 1 avg. childs
182. 2 animals, 98 plants, 186 avg. energy, 61 avg. life time, 1 avg. childs
183. 2 animals, 98 plants, 185 avg. energy, 61 avg. life time, 1 avg. childs
184. 2 animals, 97 plants, 194 avg. energy, 61 avg. life time, 1 avg. childs
185. 2 animals, 97 plants, 198 avg. energy, 61 avg. life time, 1 avg. childs
186. 2 animals, 97 plants, 202 avg. energy, 61 avg. life time, 1 avg. childs
187. 2 animals, 98 plants, 201 avg. energy, 61 avg. life time, 1 avg. childs
188. 2 animals, 98 plants, 200 avg. energy, 61 avg. life time, 1 avg. childs
189. 2 animals, 98 plants, 204 avg. energy, 61 avg. life time, 1 avg. childs
190. 2 animals, 98 plants, 208 avg. energy, 61 avg. life time, 1 avg. childs
191. 2 animals, 98 plants, 212 avg. energy, 61 avg. life time, 1 avg. childs
192. 2 animals, 98 plants, 211 avg. energy, 61 avg. life time, 1 avg. childs
193. 2 animals, 98 plants, 215 avg. energy, 61 avg. life time, 1 avg. childs
194. 2 animals, 98 plants, 214 avg. energy, 61 avg. life time, 1 avg. childs
195. 2 animals, 98 plants, 213 avg. energy, 61 avg. life time, 1 avg. childs
196. 2 animals, 98 plants, 217 avg. energy, 61 avg. life time, 1 avg. childs
197. 2 animals, 98 plants, 216 avg. energy, 61 avg. life time, 1 avg. childs
198. 2 animals, 98 plants, 215 avg. energy, 61 avg. life time, 1 avg. childs
199. 2 animals, 98 plants, 214 avg. energy, 61 avg. life time, 1 avg. childs
200. 2 animals, 98 plants, 218 avg. energy, 61 avg. life time, 1 avg. childs
201. 2 animals, 97 plants, 227 avg. energy, 61 avg. life time, 1 avg. childs
202. 2 animals, 98 plants, 226 avg. energy, 61 avg. life time, 1 avg. childs
203. 2 animals, 98 plants, 225 avg. energy, 61 avg. life time, 1 avg. childs
204. 2 animals, 98 plants, 229 avg. energy, 61 avg. life time, 1 avg. childs
205. 2 animals, 98 plants, 228 avg. energy, 61 avg. life time, 1 avg. childs
206. 2 animals, 98 plants, 227 avg. energy, 61 avg. life time, 1 avg. childs
207. 2 animals, 98 plants, 226 avg. energy, 61 avg. life time, 1 avg. childs
208. 2 animals, 98 plants, 225 avg. energy, 61 avg. life time, 1 avg. childs
209. 2 animals, 98 plants, 229 avg. energy, 61 avg. life time, 1 avg. childs
210. 2 animals, 98 plants, 228 avg. energy, 61 avg. life time, 1 avg. childs
211. 2 animals, 98 plants, 227 avg. energy, 61 avg. life time, 1 avg. childs
212. 2 animals, 98 plants, 226 avg. energy, 61 avg. life time, 1 avg. childs
213. 2 animals, 98 plants, 225 avg. energy, 61 avg. life time, 1 avg. childs
214. 2 animals, 98 plants, 229 avg. energy, 61 avg. life time, 1 avg. childs
215. 2 animals, 98 plants, 228 avg. energy, 61 avg. life time, 1 avg. childs
216. 2 animals, 98 plants, 227 avg. energy, 61 avg. life time, 1 avg. childs
217. 2 animals, 98 plants, 231 avg. energy, 61 avg. life time, 1 avg. childs
218. 2 animals, 97 plants, 240 avg. energy, 61 avg. life time, 1 avg. childs
219. 2 animals, 98 plants, 239 avg. energy, 61 avg. life time, 1 avg. childs
220. 2 animals, 98 plants, 243 avg. energy, 61 avg. life time, 1 avg. childs
221. 2 animals, 98 plants, 242 avg. energy, 61 avg. life time, 1 avg. childs
222. 2 animals, 98 plants, 246 avg. energy, 61 avg. life time, 1 avg. childs
223. 2 animals, 98 plants, 245 avg. energy, 61 avg. life time, 1 avg. childs
224. 2 animals, 98 plants, 244 avg. energy, 61 avg. life time, 1 avg. childs
225. 2 animals, 98 plants, 248 avg. energy, 61 avg. life time, 1 avg. childs
226. 2 animals, 98 plants, 252 avg. energy, 61 avg. life time, 1 avg. childs
227. 2 animals, 98 plants, 251 avg. energy, 61 avg. life time, 1 avg. childs
228. 2 animals, 98 plants, 250 avg. energy, 61 avg. life time, 1 avg. childs
229. 2 animals, 98 plants, 254 avg. energy, 61 avg. life time, 1 avg. childs
230. 2 animals, 98 plants, 258 avg. energy, 61 avg. life time, 1 avg. childs
231. 2 animals, 98 plants, 262 avg. energy, 61 avg. life time, 1 avg. childs
232. 2 animals, 98 plants, 266 avg. energy, 61 avg. life time, 1 avg. childs
233. 2 animals, 98 plants, 270 avg. energy, 61 avg. life time, 1 avg. childs
234. 2 animals, 98 plants, 274 avg. energy, 61 avg. life time, 1 avg. childs
235. 2 animals, 98 plants, 273 avg. energy, 61 avg. life time, 1 avg. childs
236. 2 animals, 98 plants, 272 avg. energy, 61 avg. life time, 1 avg. childs
237. 2 animals, 98 plants, 271 avg. energy, 61 avg. life time, 1 avg. childs
238. 2 animals, 98 plants, 270 avg. energy, 61 avg. life time, 1 avg. childs
239. 2 animals, 98 plants, 274 avg. energy, 61 avg. life time, 1 avg. childs
240. 2 animals, 98 plants, 278 avg. energy, 61 avg. life time, 1 avg. childs
241. 2 animals, 98 plants, 277 avg. energy, 61 avg. life time, 1 avg. childs
242. 2 animals, 98 plants, 276 avg. energy, 61 avg. life time, 1 avg. childs
243. 2 animals, 98 plants, 280 avg. energy, 61 avg. life time, 1 avg. childs
244. 2 animals, 98 plants, 284 avg. energy, 61 avg. life time, 1 avg. childs
245. 2 animals, 98 plants, 283 avg. energy, 61 avg. life time, 1 avg. childs
246. 2 animals, 98 plants, 287 avg. energy, 61 avg. life time, 1 avg. childs
247. 2 animals, 98 plants, 286 avg. energy, 61 avg. life time, 1 avg. childs
248. 2 animals, 98 plants, 290 avg. energy, 61 avg. life time, 1 avg. childs
249. 2 animals, 98 plants, 289 avg. energy, 61 avg. life time, 1 avg. childs
250. 2 animals, 98 plants, 293 avg. energy, 61 avg. life time, 1 avg. childs
251. 2 animals, 98 plants, 297 avg. energy, 61 avg. life time, 1 avg. childs
252. 2 animals, 98 plants, 301 avg. energy, 61 avg. life time, 1 avg. childs
253. 2 animals, 98 plants, 305 avg. energy, 61 avg. life time, 1 avg. childs
254. 2 animals, 98 plants, 304 avg. energy, 61 avg. life time, 1 avg. childs
255. 2 animals, 98 plants, 308 avg. energy, 61 avg. life time, 1 avg. childs
256. 2 animals, 98 plants, 312 avg. energy, 61 avg. life time, 1 avg. childs
257. 2 animals, 98 plants, 316 avg. energy, 61 avg. life time, 1 avg. childs
258. 2 animals, 98 plants, 320 avg. energy, 61 avg. life time, 1 avg. childs
259. 2 animals, 98 plants, 329 avg. energy, 61 avg. life time, 1 avg. childs
260. 2 animals, 98 plants, 328 avg. energy, 61 avg. life time, 1 avg. childs
261. 2 animals, 98 plants, 327 avg. energy, 61 avg. life time, 1 avg. childs
262. 2 animals, 98 plants, 326 avg. energy, 61 avg. life time, 1 avg. childs
263. 2 animals, 98 plants, 330 avg. energy, 61 avg. life time, 1 avg. childs
264. 2 animals, 98 plants, 334 avg. energy, 61 avg. life time, 1 avg. childs
265. 2 animals, 98 plants, 333 avg. energy, 61 avg. life time, 1 avg. childs
266. 2 animals, 98 plants, 332 avg. energy, 61 avg. life time, 1 avg. childs
267. 2 animals, 98 plants, 331 avg. energy, 61 avg. life time, 1 avg. childs
268. 2 animals, 98 plants, 330 avg. energy, 61 avg. life time, 1 avg. childs
269. 2 animals, 98 plants, 334 avg. energy, 61 avg. life time, 1 avg. childs
270. 2 animals, 98 plants, 333 avg. energy, 61 avg. life time, 1 avg. childs
271. 2 animals, 98 plants, 337 avg. energy, 61 avg. life time, 1 avg. childs
272. 2 animals, 98 plants, 336 avg. energy, 61 avg. life time, 1 avg. childs
273. 2 animals, 98 plants, 335 avg. energy, 61 avg. life time, 1 avg. childs
274. 2 animals, 98 plants, 334 avg. energy, 61 avg. life time, 1 avg. childs
275. 2 animals, 98 plants, 333 avg. energy, 61 avg. life time, 1 avg. childs
276. 2 animals, 98 plants, 337 avg. energy, 61 avg. life time, 1 avg. childs
277. 2 animals, 98 plants, 336 avg. energy, 61 avg. life time, 1 avg. childs
278. 2 animals, 98 plants, 335 avg. energy, 61 avg. life time, 1 avg. childs
279. 2 animals, 98 plants, 334 avg. energy, 61 avg. life time, 1 avg. childs
280. 2 animals, 97 plants, 343 avg. energy, 61 avg. life time, 1 avg. childs
281. 2 animals, 97 plants, 352 avg. energy, 61 avg. life time, 1 avg. childs
282. 2 animals, 98 plants, 351 avg. energy, 61 avg. life time, 1 avg. childs
283. 2 animals, 98 plants, 355 avg. energy, 61 avg. life time, 1 avg. childs
284. 2 animals, 98 plants, 359 avg. energy, 61 avg. life time, 1 avg. childs
285. 2 animals, 98 plants, 363 avg. energy, 61 avg. life time, 1 avg. childs
286. 2 animals, 98 plants, 367 avg. energy, 61 avg. life time, 1 avg. childs
287. 2 animals, 98 plants, 371 avg. energy, 61 avg. life time, 1 avg. childs
288. 2 animals, 98 plants, 375 avg. energy, 61 avg. life time, 1 avg. childs
289. 2 animals, 98 plants, 374 avg. energy, 61 avg. life time, 1 avg. childs
290. 2 animals, 98 plants, 378 avg. energy, 61 avg. life time, 1 avg. childs
291. 2 animals, 98 plants, 382 avg. energy, 61 avg. life time, 1 avg. childs
292. 2 animals, 98 plants, 386 avg. energy, 61 avg. life time, 1 avg. childs
293. 2 animals, 98 plants, 385 avg. energy, 61 avg. life time, 1 avg. childs
294. 2 animals, 98 plants, 389 avg. energy, 61 avg. life time, 1 avg. childs
295. 2 animals, 97 plants, 398 avg. energy, 61 avg. life time, 1 avg. childs
296. 2 animals, 98 plants, 397 avg. energy, 61 avg. life time, 1 avg. childs
297. 2 animals, 98 plants, 401 avg. energy, 61 avg. life time, 1 avg. childs
298. 2 animals, 98 plants, 405 avg. energy, 61 avg. life time, 1 avg. childs
299. 2 animals, 98 plants, 409 avg. energy, 61 avg. life time, 1 avg. childs
300. 2 animals, 98 plants, 408 avg. energy, 61 avg. life time, 1 avg. childs
301. 2 animals, 98 plants, 407 avg. energy, 61 avg. life time, 1 avg. childs
302. 2 animals, 98 plants, 406 avg. energy, 61 avg. life time, 1 avg. childs
303. 2 animals, 98 plants, 410 avg. energy, 61 avg. life time, 1 avg. childs
304. 2 animals, 98 plants, 409 avg. energy, 61 avg. life time, 1 avg. childs
305. 2 animals, 98 plants, 408 avg. energy, 61 avg. life time, 1 avg. childs
306. 2 animals, 98 plants, 407 avg. energy, 61 avg. life time, 1 avg. childs
307. 2 animals, 98 plants, 406 avg. energy, 61 avg. life time, 1 avg. childs
308. 2 animals, 98 plants, 410 avg. energy, 61 avg. life time, 1 avg. childs
309. 2 animals, 98 plants, 414 avg. energy, 61 avg. life time, 1 avg. childs
310. 2 animals, 98 plants, 413 avg. energy, 61 avg. life time, 1 avg. childs
311. 2 animals, 98 plants, 417 avg. energy, 61 avg. life time, 1 avg. childs
312. 2 animals, 98 plants, 416 avg. energy, 61 avg. life time, 1 avg. childs
313. 2 animals, 98 plants, 420 avg. energy, 61 avg. life time, 1 avg. childs
314. 2 animals, 98 plants, 424 avg. energy, 61 avg. life time, 1 avg. childs
315. 2 animals, 98 plants, 428 avg. energy, 61 avg. life time, 1 avg. childs
316. 2 animals, 98 plants, 427 avg. energy, 61 avg. life time, 1 avg. childs
317. 2 animals, 98 plants, 431 avg. energy, 61 avg. life time, 1 avg. childs
318. 2 animals, 98 plants, 435 avg. energy, 61 avg. life time, 1 avg. childs
319. 2 animals, 98 plants, 439 avg. energy, 61 avg. life time, 1 avg. childs
320. 2 animals, 98 plants, 443 avg. energy, 61 avg. life time, 1 avg. childs
321. 2 animals, 98 plants, 442 avg. energy, 61 avg. life time, 1 avg. childs
322. 2 animals, 98 plants, 446 avg. energy, 61 avg. life time, 1 avg. childs
323. 2 animals, 98 plants, 450 avg. energy, 61 avg. life time, 1 avg. childs
324. 2 animals, 98 plants, 449 avg. energy, 61 avg. life time, 1 avg. childs
325. 2 animals, 98 plants, 448 avg. energy, 61 avg. life time, 1 avg. childs
326. 2 animals, 98 plants, 447 avg. energy, 61 avg. life time, 1 avg. childs
327. 2 animals, 98 plants, 446 avg. energy, 61 avg. life time, 1 avg. childs
328. 2 animals, 98 plants, 450 avg. energy, 61 avg. life time, 1 avg. childs
329. 2 animals, 98 plants, 449 avg. energy, 61 avg. life time, 1 avg. childs
330. 2 animals, 98 plants, 453 avg. energy, 61 avg. life time, 1 avg. childs
331. 2 animals, 98 plants, 452 avg. energy, 61 avg. life time, 1 avg. childs
332. 2 animals, 98 plants, 456 avg. energy, 61 avg. life time, 1 avg. childs
333. 2 animals, 98 plants, 460 avg. energy, 61 avg. life time, 1 avg. childs
334. 2 animals, 98 plants, 459 avg. energy, 61 avg. life time, 1 avg. childs
335. 2 animals, 98 plants, 458 avg. energy, 61 avg. life time, 1 avg. childs
336. 2 animals, 98 plants, 462 avg. energy, 61 avg. life time, 1 avg. childs
337. 2 animals, 98 plants, 461 avg. energy, 61 avg. life time, 1 avg. childs
338. 2 animals, 98 plants, 465 avg. energy, 61 avg. life time, 1 avg. childs
339. 2 animals, 98 plants, 469 avg. energy, 61 avg. life time, 1 avg. childs
